tier,paper_slug,system,model,official,pipeline,cc_tone,ext_tone,cc_gate,ext_gate,cc_tone_signal,ext_tone_signal,cc_gate_reason,ext_gate_reason,cc_structural_note,proposed_final,human_verdict
T1,rl_backtracking_feedback,L,GPT4o,ACCEPTED,REJECT,ACCEPT,ACCEPT,ACCEPT,AMBIGUOUS,"The reviewer frames the work as a significant, novel advancement with comprehensive empirical support, while the rejection reasons are addressable concerns (missing error bars, efficiency discussion, societal impacts, code release) rather than fundamental methodological flaws.","The review strongly endorses the safety idea and empirical gains, with only one major methodological complaint about the absence of statistical support.",No fundamental-gate triggers and positive acceptance signal present.,AMBIGUOUS because the only major fundamental issue is missing statistical evidence for the reported gains.,,ACCEPT,
T1,rl_reasoning_limits,L,GPT4o,ACCEPTED,ACCEPT,REJECT,ACCEPT,ACCEPT,ACCEPT,"The reasons for rejection are more numerous, detailed, and framed as fundamental concerns (lack of novelty, insufficient analysis, overemphasis on quantitative metrics), while the acceptance reasons are briefer and more generic, suggesting the reviewer leans toward rejection.","The review presents the paper as a comprehensive and useful diagnosis of RLVR limits, with its concerns framed as opportunities for deeper follow-up rather than blockers.",No fundamental-gate triggers and positive acceptance signal present.,ACCEPT because no major concern maps to a fundamental gate and the review gives substantive reasons for acceptance.,,ACCEPT,
T1,rl_reasoning_limits,A,GPT4o,ACCEPTED,REJECT,REJECT,REJECT,AMBIGUOUS,REJECT,"The review explicitly states 'Decision: Reject' and cites low scores on originality, significance, and contribution along with weaknesses about lack of actionable solutions and novel advancements.",The explicit Reject decision says the paper mostly reiterates known RLVR limitations without enough methodological or conceptual advancement.,"Mixed: 1 fundamental hit(s), below auto-reject threshold.",REJECT because two separate major concerns map to G5 because the review treats the contribution as insufficiently novel and largely confirmatory.,,REJECT,
T1,rl_reasoning_limits,M,GPT4o,ACCEPTED,REJECT,AMBIGUOUS,ACCEPT,AMBIGUOUS,ACCEPT,"The review consists of meta-planning and refinement scaffolding for comment suggestions without any explicit recommendation, enthusiasm, or blocking criticism that would indicate a clear accept or reject lean.","The broken review mostly asks for more metrics, better comparisons, and clearer reproducibility detail rather than challenging the core result.",No fundamental gate triggers but no positive acceptance signal.,"ACCEPT because the only major mapped issue is missing algorithmic detail, while the rest are moderate requests for further analysis.","Review contains multi-agent process artifacts including meta-commentary about refining comments, SEND MESSAGE instructions to other agents, repeated step headers (Step 4 appears twice), and sections where agents failed to obtain original comments. The text is largely process narration rather than substantive review content.",UNRELIABLE,
T2,adversarial_dejavu,A,Opus,ACCEPTED,ACCEPT,ACCEPT,ACCEPT,REJECT,REJECT,The reviewer explicitly states 'Decision: Accept' with an Overall score of 6 and frames weaknesses as addressable rather than fundamental.,The explicit decision is Accept and the review repeatedly frames the paper as novel and empirically strong despite several serious caveats.,"3 major/fatal concerns in fundamental gates (G1, G2, G4).","REJECT because four major concerns hit fundamental gates through circular validation, small/confounded unseen evaluation, unsupported linearity, and missing source-of-gains ablation.",,SPLIT (needs human),
T2,artificial_hivemind,A,GPT4o,ACCEPTED,REJECT,REJECT,REJECT,AMBIGUOUS,AMBIGUOUS,"The review explicitly states 'Decision: Reject' and scores are mediocre (Overall: 5, with Clarity and Presentation at 2), with weaknesses framed as fundamental gaps in validation and scope.",The explicit Reject decision rests on the claim that the paper does not empirically validate its proposed mitigation angle.,"Mixed: 1 fundamental hit(s), below auto-reject threshold.",AMBIGUOUS because only one major concern maps cleanly to a fundamental gate—the unsupported mitigation claim—so the review does not clearly cross the reject threshold under the gate rules.,,SPLIT (needs human),
T2,artificial_hivemind,O,Opus,ACCEPTED,ACCEPT,ACCEPT,ACCEPT,AMBIGUOUS,AMBIGUOUS,"The reviewer explicitly states the issues 'while not undermining the central thesis' and characterizes the contribution as 'substantial' and 'commendable,' with all detailed comments framed as precision/clarity corrections rather than fundamental flaws.",The overall feedback says the core thesis is well-supported and that the identified problems reduce precision rather than undermine the contribution.,"Mixed: 1 fundamental hit(s), below auto-reject threshold.","AMBIGUOUS because the main issue is a potentially invalid disagreement metric, which creates one fundamental hit but not enough for automatic rejection.",,SPLIT (needs human),
T2,cmdp_meta_safe_rl,L,GPT4o,ACCEPTED,ACCEPT,ACCEPT,ACCEPT,AMBIGUOUS,AMBIGUOUS,"The reasons for acceptance emphasize significant theoretical contributions and 'first provable guarantees,' while the rejection reasons are framed as addressable concerns about clarity, complexity, and experimental breadth rather than fundamental flaws.","The review foregrounds the first provable Meta-SRL framing and treats the objections as assumptions, breadth, and presentation limits rather than fatal flaws.","Mixed: 1 fundamental hit(s), below auto-reject threshold.",AMBIGUOUS because the only clear fundamental issue is the missing stronger efficiency/scalability comparison; the other major concerns are scope and overclaiming issues.,,SPLIT (needs human),
T2,from_assistant_pentest,M,GPT4o,REJECTED,ACCEPT,ACCEPT,ACCEPT,REJECT,REJECT,"The review consists mostly of procedural planning and constructive suggestions framed as improvements (ablation studies, mitigation strategies, expanded discussions) rather than blocking criticisms, suggesting a supportive lean toward acceptance.","The structurally broken review still sounds more constructive than dismissive, but the surviving major comments focus on absent baselines and missing setup details.","2 major/fatal concerns in fundamental gates (G1, G2).",REJECT because two major G2 hits are present—no AI/RL comparison and no external benchmark/context baseline—plus substantial reproducibility omissions.,"Review contains extensive multi-agent process artifacts: high-level plans, SEND MESSAGE directives, repeated 'Thank you Agent 8' fragments, and meta-commentary about the review process rather than substantive paper critique. The actual review content is buried within procedural scaffolding.",UNRELIABLE,
T2,rl_backtracking_feedback,A,GPT4o,ACCEPTED,REJECT,REJECT,REJECT,AMBIGUOUS,AMBIGUOUS,"The review explicitly states 'Decision: Reject' and lists fundamental concerns about statistical significance, reproducibility, and computational feasibility.","The explicit Reject decision centers on under-supported empirical claims, unavailable code/data, and unquantified efficiency costs.","Mixed: 1 fundamental hit(s), below auto-reject threshold.",AMBIGUOUS because the review only clearly reaches one fundamental gate hit—the lack of statistical support—while the rest are reproducibility and practicality concerns.,,SPLIT (needs human),
