paper_slug,system,model,official_decision,pipeline_verdict,cc_tone,ext_tone,cc_gate,ext_gate,human_verdict,final_verdict,audited
collabllm,A,Opus,ACCEPT,REJECT,REJECT,REJECT,REJECT,REJECT,,REJECT,NO
collabllm,L,GPT4o,ACCEPT,ACCEPT,ACCEPT,ACCEPT,ACCEPT,ACCEPT,,ACCEPT,NO
collabllm,L,Opus,ACCEPT,REJECT,REJECT,REJECT,REJECT,REJECT,,REJECT,NO
collabllm,M,GPT4o,ACCEPT,ACCEPT,REJECT,ACCEPT,AMBIGUOUS,ACCEPT,UNRELIABLE,UNRELIABLE,YES
collabllm,O,Opus,ACCEPT,ACCEPT,REJECT,ACCEPT,REJECT,AMBIGUOUS,REJECT,REJECT,YES
from_assistant_pentest,A,GPT4o,REJECT,REJECT,REJECT,REJECT,REJECT,REJECT,,REJECT,NO
from_assistant_pentest,A,Opus,REJECT,REJECT,REJECT,REJECT,REJECT,REJECT,,REJECT,NO
from_assistant_pentest,L,GPT4o,REJECT,REJECT,REJECT,ACCEPT,REJECT,REJECT,REJECT,REJECT,YES
from_assistant_pentest,L,Opus,REJECT,REJECT,REJECT,REJECT,REJECT,REJECT,,REJECT,NO
from_assistant_pentest,M,GPT4o,REJECT,ACCEPT,ACCEPT,ACCEPT,REJECT,REJECT,UNRELIABLE,UNRELIABLE,YES
from_assistant_pentest,O,Opus,REJECT,REJECT,REJECT,REJECT,REJECT,REJECT,,REJECT,NO
from_capabilities_pentest,A,GPT4o,ACCEPT,REJECT,REJECT,REJECT,REJECT,REJECT,,REJECT,NO
from_capabilities_pentest,A,Opus,ACCEPT,REJECT,REJECT,REJECT,REJECT,REJECT,,REJECT,NO
from_capabilities_pentest,L,GPT4o,ACCEPT,ACCEPT,ACCEPT,ACCEPT,ACCEPT,ACCEPT,,ACCEPT,NO
from_capabilities_pentest,L,Opus,ACCEPT,REJECT,REJECT,REJECT,REJECT,REJECT,,REJECT,NO
from_capabilities_pentest,M,GPT4o,ACCEPT,ACCEPT,ACCEPT,ACCEPT,ACCEPT,ACCEPT,,ACCEPT,NO
from_capabilities_pentest,O,Opus,ACCEPT,REJECT,REJECT,REJECT,REJECT,REJECT,,REJECT,NO
rl_backtracking_feedback,A,GPT4o,ACCEPT,REJECT,REJECT,REJECT,AMBIGUOUS,AMBIGUOUS,REJECT,REJECT,YES
rl_backtracking_feedback,A,Opus,ACCEPT,REJECT,REJECT,REJECT,REJECT,REJECT,,REJECT,NO
rl_backtracking_feedback,L,GPT4o,ACCEPT,REJECT,ACCEPT,ACCEPT,ACCEPT,AMBIGUOUS,ACCEPT,ACCEPT,YES
rl_backtracking_feedback,L,Opus,ACCEPT,REJECT,REJECT,REJECT,REJECT,REJECT,,REJECT,NO
rl_backtracking_feedback,M,GPT4o,ACCEPT,REJECT,REJECT,REJECT,REJECT,REJECT,,REJECT,NO
rl_backtracking_feedback,O,Opus,ACCEPT,REJECT,REJECT,REJECT,REJECT,REJECT,,REJECT,NO
rl_reasoning_limits,A,GPT4o,ACCEPT,REJECT,REJECT,REJECT,AMBIGUOUS,REJECT,REJECT,REJECT,YES
rl_reasoning_limits,A,Opus,ACCEPT,REJECT,REJECT,REJECT,REJECT,REJECT,,REJECT,NO
rl_reasoning_limits,L,GPT4o,ACCEPT,ACCEPT,REJECT,ACCEPT,ACCEPT,ACCEPT,ACCEPT,ACCEPT,YES
rl_reasoning_limits,L,Opus,ACCEPT,REJECT,REJECT,REJECT,REJECT,REJECT,,REJECT,NO
rl_reasoning_limits,M,GPT4o,ACCEPT,REJECT,AMBIGUOUS,ACCEPT,AMBIGUOUS,ACCEPT,UNRELIABLE,UNRELIABLE,YES
rl_reasoning_limits,O,Opus,ACCEPT,REJECT,REJECT,REJECT,REJECT,REJECT,,REJECT,NO
